participant_id,brightness0,brightness1,brightness2,brightness3,local_symbol_cls00,local_symbol_cls01,local_symbol_cls02,local_symbol_cls03,local_symbol_cls04,local_symbol_cls05,local_symbol_cls10,local_symbol_cls11,local_symbol_cls12,local_symbol_cls13,local_symbol_cls14,local_symbol_cls15,local_symbol_cls20,local_symbol_cls21,local_symbol_cls22,local_symbol_cls23,local_symbol_cls24,local_symbol_cls25,local_symbol_cls30,local_symbol_cls31,local_symbol_cls32,local_symbol_cls33,local_symbol_cls34,local_symbol_cls35,correct_symbol_cls0,correct_symbol_cls1,correct_symbol_cls2,correct_symbol_cls3,correct_symbol_cls4,correct_symbol_cls5,correct_local_cls,time_reaction_task,time_reaction_mean,chosen_local_cls
Jupiter,30.967394770408163,43.39883609693877,67.60865752551021,38.42729591836735,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,824,1101.0,0
Jupiter,64.6983418367347,65.80707908163265,28.22560586734694,20.6273118622449,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1817,1101.0,2
Jupiter,37.226482780612244,54.877311862244895,29.079799107142858,52.30054209183673,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,702,1101.0,0
Jupiter,42.36280293367347,82.12324617346938,45.29097576530612,27.760921556122447,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1156,1101.0,3
Jupiter,63.59327168367347,31.291055484693878,29.662547831632654,32.7610012755102,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,942,1101.0,1
Jupiter,40.45727040816327,12.044882015306122,34.852120535714285,40.95376275510204,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2461,1101.0,1
Jupiter,40.14995216836735,45.80715880102041,62.73190369897959,31.423070790816325,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,821,1101.0,1
Jupiter,27.812739158163264,48.75151466836735,24.303491709183675,46.696906887755105,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1064,1101.0,1
Jupiter,15.974728954081632,40.32724808673469,43.85698341836735,53.29711415816327,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,760,1101.0,1
Jupiter,31.186304209183675,31.235889668367346,46.16031568877551,27.134486607142858,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2270,1101.0,2
Jupiter,45.23812181122449,20.6273118622449,46.24242665816327,49.340800382653065,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,831,1101.0,2
Jupiter,52.04384566326531,53.9225924744898,36.56050701530612,45.062818877551024,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,943,1101.0,1
Jupiter,30.097576530612244,43.715800382653065,16.33561862244898,43.1164700255102,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,988,1101.0,1
