participant_id,brightness0,brightness1,brightness2,brightness3,local_symbol_cls0,local_symbol_cls1,local_symbol_cls2,local_symbol_cls3,correct_symbol_cls,correct_local_cls,participant_linspace,time_reaction_task,time_reaction_mean,chosen_local_cls
Jupiter,53.17833227040816,14.506138392857142,70.52359693877551,37.52750318877551,m,j,s,y,s,2,0.04804270462633452,2039,1101.0,2
Jupiter,51.49896364795919,62.67442602040816,60.85267857142857,29.828364158163264,c,y,s,j,c,0,0.04863582443653618,1905,1101.0,0
Jupiter,22.936144770408163,45.06744260204081,43.59526466836735,35.41430165816327,m,c,s,f,f,3,0.04922894424673784,816,1101.0,2
Jupiter,33.97568558673469,38.32573341836735,61.65704719387755,38.08514030612245,y,s,c,f,s,1,0.0498220640569395,831,1101.0,1
Jupiter,36.87739158163265,64.8897480867347,31.776785714285715,64.05062181122449,y,c,f,s,y,0,0.05041518386714116,748,1175.0,0
Jupiter,39.09271364795919,50.50414540816327,46.55078125,33.99083227040816,f,c,y,j,j,3,0.051008303677342826,976,1175.0,3
Jupiter,46.24410076530612,28.5914381377551,27.01076211734694,63.19969706632653,m,f,j,c,c,3,0.051601423487544484,801,1175.0,3
Jupiter,56.62802933673469,72.0640943877551,45.097337372448976,35.25701530612245,f,s,y,j,j,3,0.05219454329774614,999,1175.0,2
Jupiter,44.27431441326531,37.753348214285715,73.11017219387755,49.49410076530612,c,f,s,y,y,3,0.0527876631079478,840,1175.0,3
Jupiter,39.25047831632653,49.187181122448976,11.32342155612245,33.66079400510204,y,c,j,f,c,1,0.05338078291814947,863,1175.0,3
Jupiter,48.05668048469388,49.15752551020408,36.78045280612245,20.401865433673468,f,m,c,j,m,1,0.05397390272835113,688,1175.0,2
Jupiter,46.22632334183673,59.899633290816325,56.00151466836735,24.633928571428573,f,c,s,j,j,3,0.054567022538552785,1278,1175.0,3
Jupiter,47.80102040816327,58.302455357142854,34.61344068877551,32.91605548469388,m,s,j,y,m,0,0.05516014234875445,718,1175.0,2
Jupiter,36.432397959183675,25.900510204081634,42.862962372448976,60.25079719387755,y,j,f,s,y,0,0.05575326215895611,1140,1175.0,2
Jupiter,29.51171875,41.76426977040816,40.0983737244898,29.712691326530614,j,c,f,y,j,0,0.05634638196915777,943,1175.0,1
Jupiter,42.040019132653065,34.21436543367347,45.12954400510204,26.517538265306122,y,f,s,j,y,0,0.05693950177935943,1027,1175.0,2
Jupiter,51.20352359693877,31.613679846938776,49.542410714285715,42.34566326530612,c,y,m,s,c,0,0.05753262158956109,805,1175.0,1
Jupiter,45.52718431122449,37.74545599489796,17.38799426020408,41.79942602040816,y,m,j,c,y,0,0.05812574139976275,1043,1175.0,0
Jupiter,41.59677933673469,57.41254783163265,36.227519132653065,22.794882015306122,f,s,c,j,j,3,0.05871886120996441,872,1175.0,1
Jupiter,16.850127551020407,37.61049107142857,58.23716517857143,20.96452487244898,j,f,s,m,f,1,0.05931198102016608,1112,1175.0,0
Jupiter,46.42793367346939,49.10897640306123,35.24976084183673,42.33553890306123,s,c,f,y,s,0,0.059905100830367736,1194,1175.0,2
Jupiter,42.59877232142857,29.867984693877553,25.308673469387756,50.44985650510204,c,y,j,m,c,0,0.060498220640569395,735,1175.0,0
Jupiter,34.92299107142857,18.53388073979592,28.248963647959183,46.498804209183675,m,f,j,s,f,1,0.06109134045077105,995,1175.0,0
Jupiter,17.546157525510203,50.212531887755105,41.630102040816325,40.589285714285715,j,s,c,y,j,0,0.06168446026097272,836,1175.0,2
Jupiter,56.21572066326531,42.27558992346939,39.93271683673469,26.577248086734695,c,m,y,j,y,2,0.06227758007117438,1011,1175.0,2
Jupiter,17.309948979591837,62.01522640306123,55.488360969387756,31.582589285714285,j,s,f,c,c,3,0.06287069988137604,1301,1175.0,2
Jupiter,34.52423469387755,38.601642219387756,23.123963647959183,36.856026785714285,f,c,j,y,c,1,0.0634638196915777,2679,1175.0,1
Jupiter,25.306680484693878,30.44076849489796,43.18112244897959,51.905691964285715,m,y,c,s,c,2,0.06405693950177936,959,1175.0,1
Jupiter,52.30420918367347,37.57278380102041,42.112324617346935,34.25191326530612,s,j,y,f,f,3,0.06465005931198102,1068,1175.0,2
Jupiter,54.345822704081634,66.47608418367346,33.45248724489796,16.2171556122449,y,c,s,j,y,0,0.06524317912218268,1075,1175.0,2
Jupiter,44.26777742346939,29.876913265306122,21.807079081632654,37.18534757653061,m,s,f,y,s,1,0.06583629893238434,835,1175.0,1
Jupiter,47.827566964285715,54.578204719387756,40.07134885204081,25.665098852040817,s,f,m,y,s,0,0.066429418742586,931,1175.0,1
Jupiter,48.09351084183673,40.11216517857143,53.54934630102041,50.443478954081634,f,j,s,c,c,3,0.06702253855278767,816,1175.0,0
Jupiter,44.5930325255102,42.22289540816327,40.02040816326531,30.973453443877553,c,m,s,y,y,3,0.06761565836298933,1066,1175.0,3
Jupiter,51.20352359693877,50.96787308673469,48.868144132653065,34.673708545918366,c,s,y,m,y,2,0.06820877817319099,987,1175.0,3
Jupiter,26.809311224489797,39.2890625,48.74585459183673,41.05277423469388,j,y,f,m,y,1,0.06880189798339265,1369,1175.0,3
Jupiter,33.02750318877551,36.36583227040816,60.134406887755105,42.84008290816327,y,f,s,c,c,3,0.0693950177935943,871,1175.0,0
Jupiter,33.87715242346939,32.169563137755105,39.40210459183673,64.76490752551021,j,f,c,s,c,2,0.06998813760379596,1172,1175.0,0
Jupiter,39.208864795918366,41.62635522959184,27.38153698979592,30.1578443877551,m,c,y,j,c,1,0.07058125741399762,2410,1175.0,1
Jupiter,38.15752551020408,27.487085459183675,63.345344387755105,43.55269451530612,f,j,s,c,s,2,0.0711743772241993,1030,1175.0,0
Jupiter,43.40640943877551,50.491230867346935,62.94052933673469,29.779496173469386,f,c,s,y,c,1,0.07176749703440095,1310,1175.0,2
Jupiter,29.8844068877551,53.344068877551024,52.0827487244898,42.97847576530612,f,y,c,s,c,2,0.07236061684460261,1366,1175.0,0
Jupiter,33.132892219387756,59.74808673469388,44.42036033163265,50.048708545918366,f,c,m,y,f,0,0.07295373665480427,1249,1175.0,3
Jupiter,37.806361607142854,98.48126594387755,41.070392219387756,29.157605229591837,c,s,y,f,c,0,0.07354685646500593,3327,1175.0,1
Jupiter,68.64429209183673,48.226642219387756,24.431600765306122,34.59199617346939,s,c,f,m,s,0,0.07413997627520759,1133,1175.0,1
Jupiter,17.940848214285715,33.9225924744898,30.496332908163264,29.31704400510204,j,c,f,m,m,3,0.07473309608540925,2940,1175.0,2
Jupiter,57.204320790816325,47.18399234693877,25.917570153061224,36.32174744897959,c,s,f,m,c,0,0.0753262158956109,1021,1175.0,2
Jupiter,25.752232142857142,54.33944515306123,35.74689094387755,44.978874362244895,f,s,j,m,j,2,0.07591933570581258,1236,1175.0,1
Jupiter,27.548549107142858,53.171316964285715,44.25733418367347,59.780691964285715,j,s,f,c,f,2,0.07651245551601424,943,1175.0,1
Jupiter,59.67059948979592,55.11678890306123,31.279416454081634,43.67211415816327,c,s,y,m,y,2,0.0771055753262159,1374,1175.0,1
Jupiter,36.48891900510204,44.29551977040816,36.39795918367347,29.228794642857142,y,s,j,c,y,0,0.07769869513641756,2821,1433.0,1
Jupiter,27.714684311224488,42.53595344387755,61.98461415816327,33.073899872448976,j,c,m,f,c,1,0.07829181494661921,2342,1433.0,2
Jupiter,53.027024872448976,49.80293367346939,31.497847576530614,56.57676977040816,c,y,f,m,f,2,0.07888493475682087,1301,1433.0,2
Jupiter,38.0007174744898,55.97289540816327,40.21532206632653,30.515385841836736,j,c,f,m,c,1,0.07947805456702253,1366,1433.0,1
Jupiter,29.899314413265305,56.26937181122449,30.349888392857142,59.52487244897959,f,s,j,y,s,1,0.0800711743772242,974,1433.0,1
Jupiter,47.05269451530612,18.24904336734694,45.36591198979592,39.68598533163265,c,m,s,y,s,2,0.08066429418742586,1028,1433.0,0
Jupiter,26.2796556122449,37.58490114795919,48.74633290816327,16.885921556122447,f,y,c,j,y,1,0.08125741399762752,3959,1433.0,2
Jupiter,36.54862882653061,37.511399872448976,36.55859375,46.90935905612245,y,m,j,c,m,1,0.08185053380782918,995,1433.0,2
Jupiter,54.23453443877551,33.64859693877551,47.06784119897959,51.0852200255102,m,f,c,y,c,2,0.08244365361803084,1227,1433.0,1
Jupiter,45.43662308673469,53.66685267857143,31.423070790816325,19.091278698979593,c,f,y,j,f,1,0.0830367734282325,869,1433.0,2
Jupiter,55.25255102040816,49.172831632653065,52.248804209183675,64.38464604591837,f,s,c,y,c,2,0.08362989323843416,2999,1433.0,0
Jupiter,57.236208545918366,31.607142857142858,50.74657206632653,31.703204719387756,c,y,s,m,s,2,0.08422301304863583,884,1433.0,2
Jupiter,42.65880102040816,55.30508609693877,12.400908801020408,43.55269451530612,y,s,j,c,y,0,0.08481613285883749,931,1433.0,1
Jupiter,31.858179209183675,28.352917729591837,31.560028698979593,26.536511479591837,y,f,m,j,m,2,0.08540925266903915,1295,1433.0,2
Jupiter,57.21484375,36.58466198979592,51.25916772959184,46.42793367346939,y,j,f,s,f,2,0.08600237247924081,1381,1433.0,3
Jupiter,55.64429209183673,29.905133928571427,37.81297831632653,30.49609375,c,f,s,j,j,3,0.08659549228944247,1080,1433.0,2
Jupiter,60.30389030612245,19.171396683673468,27.02279974489796,42.59725765306123,s,f,j,m,f,1,0.08718861209964412,1535,1433.0,2
