participant_id,x1_linspace,x1_brightness,x1_symbol_m,x1_symbol_c,x1_symbol_s,x1_symbol_y,x1_symbol_f,x1_symbol_j,x1_location_0,x1_location_1,x1_location_2,x1_location_3,x2_linspace,x2_brightness,x2_symbol_m,x2_symbol_c,x2_symbol_s,x2_symbol_y,x2_symbol_f,x2_symbol_j,x2_location_0,x2_location_1,x2_location_2,x2_location_3
Jupiter,0.0189798339264531,0.14757434,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0189798339264531,0.1829857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jupiter,0.0195729537366548,0.08244048,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0195729537366548,0.08000732,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Jupiter,0.0195729537366548,0.08244048,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0195729537366548,0.13339585,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0195729537366548,0.08244048,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0195729537366548,0.22288448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jupiter,0.0201660735468564,0.10148402,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0201660735468564,0.2823123,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0201660735468564,0.10148402,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0201660735468564,0.1844569,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0201660735468564,0.10148402,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0201660735468564,0.22553895,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Jupiter,0.0207591933570581,0.12777518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0207591933570581,0.09757935,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0207591933570581,0.12777518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0207591933570581,0.20466092,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jupiter,0.0207591933570581,0.12777518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0207591933570581,0.14519401,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Jupiter,0.0213523131672597,0.1392679,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0213523131672597,0.16033351,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0213523131672597,0.1392679,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0213523131672597,0.20010942,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0213523131672597,0.1392679,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0213523131672597,0.18359908,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jupiter,0.0219454329774614,0.17082958,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0219454329774614,0.14923374,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
